pretax_income,tax,after_tax_income
722000.0,281166.0,440834.0
723000.0,281713.0,441287.0
724000.0,282261.0,441739.0
725000.0,282808.0,442192.0
726000.0,283355.0,442645.0
727000.0,283903.0,443097.0
728000.0,284450.0,443550.0
729000.0,284997.0,444003.0
730000.0,285544.0,444456.0
731000.0,286092.0,444908.0
732000.0,286639.0,445361.0
733000.0,287186.0,445814.0
734000.0,287733.0,446267.0
735000.0,288281.0,446719.0
736000.0,288828.0,447172.0
737000.0,289375.0,447625.0
738000.0,289922.0,448078.0
739000.0,290470.0,448530.0
740000.0,291017.0,448983.0
741000.0,291564.0,449436.0
742000.0,292112.0,449888.0
743000.0,292659.0,450341.0
744000.0,293206.0,450794.0
745000.0,293753.0,451247.0
746000.0,294301.0,451699.0
747000.0,294848.0,452152.0
748000.0,295395.0,452605.0
749000.0,295942.0,453058.0
750000.0,296490.0,453510.0
751000.0,297037.0,453963.0
752000.0,297584.0,454416.0
753000.0,298132.0,454868.0
754000.0,298679.0,455321.0
755000.0,299226.0,455774.0
756000.0,299773.0,456227.0
757000.0,300321.0,456679.0
758000.0,300868.0,457132.0
759000.0,301415.0,457585.0
760000.0,301962.0,458038.0
761000.0,302510.0,458490.0
762000.0,303057.0,458943.0
763000.0,303604.0,459396.0
764000.0,304151.0,459849.0
765000.0,304699.0,460301.0
766000.0,305246.0,460754.0
767000.0,305793.0,461207.0
768000.0,306341.0,461659.0
769000.0,306888.0,462112.0
770000.0,307435.0,462565.0
771000.0,307982.0,463018.0
772000.0,308530.0,463470.0
773000.0,309077.0,463923.0
774000.0,309624.0,464376.0
775000.0,310171.0,464829.0
776000.0,310719.0,465281.0
777000.0,311266.0,465734.0
778000.0,311813.0,466187.0
779000.0,312360.0,466640.0
780000.0,312908.0,467092.0
781000.0,313455.0,467545.0
782000.0,314002.0,467998.0
783000.0,314550.0,468450.0
784000.0,315097.0,468903.0
785000.0,315644.0,469356.0
786000.0,316191.0,469809.0
787000.0,316739.0,470261.0
788000.0,317286.0,470714.0
789000.0,317833.0,471167.0
790000.0,318380.0,471620.0
791000.0,318928.0,472072.0
792000.0,319475.0,472525.0
793000.0,320022.0,472978.0
794000.0,320569.0,473431.0
795000.0,321117.0,473883.0
796000.0,321664.0,474336.0
797000.0,322211.0,474789.0
798000.0,322759.0,475241.0
799000.0,323306.0,475694.0
800000.0,323853.0,476147.0
801000.0,324400.0,476600.0
802000.0,324948.0,477052.0
803000.0,325495.0,477505.0
804000.0,326042.0,477958.0
805000.0,326589.0,478411.0
806000.0,327137.0,478863.0
807000.0,327684.0,479316.0
808000.0,328231.0,479769.0
809000.0,328779.0,480221.0
810000.0,329326.0,480674.0
811000.0,329873.0,481127.0
812000.0,330420.0,481580.0
813000.0,330968.0,482032.0
814000.0,331515.0,482485.0
815000.0,332062.0,482938.0
816000.0,332609.0,483391.0
817000.0,333157.0,483843.0
818000.0,333704.0,484296.0
819000.0,334251.0,484749.0
820000.0,334798.0,485202.0
821000.0,335346.0,485654.0
822000.0,335893.0,486107.0
823000.0,336440.0,486560.0
824000.0,336988.0,487012.0
825000.0,337535.0,487465.0
826000.0,338082.0,487918.0
827000.0,338629.0,488371.0
828000.0,339177.0,488823.0
829000.0,339724.0,489276.0
830000.0,340271.0,489729.0
831000.0,340818.0,490182.0
832000.0,341366.0,490634.0
833000.0,341913.0,491087.0
834000.0,342460.0,491540.0
835000.0,343007.0,491993.0
836000.0,343555.0,492445.0
837000.0,344102.0,492898.0
838000.0,344649.0,493351.0
839000.0,345197.0,493803.0
840000.0,345744.0,494256.0
841000.0,346291.0,494709.0
842000.0,346838.0,495162.0
843000.0,347386.0,495614.0
844000.0,347933.0,496067.0
845000.0,348480.0,496520.0
846000.0,349027.0,496973.0
847000.0,349575.0,497425.0
848000.0,350122.0,497878.0
849000.0,350669.0,498331.0
850000.0,351217.0,498783.0
851000.0,351764.0,499236.0
852000.0,352311.0,499689.0
853000.0,352858.0,500142.0
854000.0,353406.0,500594.0
855000.0,353953.0,501047.0
856000.0,354500.0,501500.0
857000.0,355047.0,501953.0
858000.0,355595.0,502405.0
859000.0,356142.0,502858.0
860000.0,356689.0,503311.0
861000.0,357236.0,503764.0
862000.0,357784.0,504216.0
863000.0,358331.0,504669.0
864000.0,358878.0,505122.0
865000.0,359426.0,505574.0
866000.0,359973.0,506027.0
867000.0,360520.0,506480.0
868000.0,361067.0,506933.0
869000.0,361615.0,507385.0
870000.0,362162.0,507838.0
871000.0,362709.0,508291.0
872000.0,363256.0,508744.0
873000.0,363804.0,509196.0
874000.0,364351.0,509649.0
875000.0,364898.0,510102.0
876000.0,365445.0,510555.0
877000.0,365993.0,511007.0
878000.0,366540.0,511460.0
879000.0,367087.0,511913.0
880000.0,367635.0,512365.0
881000.0,368182.0,512818.0
882000.0,368729.0,513271.0
883000.0,369276.0,513724.0
884000.0,369824.0,514176.0
885000.0,370371.0,514629.0
886000.0,370918.0,515082.0
887000.0,371465.0,515535.0
888000.0,372013.0,515987.0
889000.0,372560.0,516440.0
890000.0,373107.0,516893.0
891000.0,373654.0,517346.0
892000.0,374202.0,517798.0
893000.0,374749.0,518251.0
894000.0,375296.0,518704.0
895000.0,375844.0,519156.0
896000.0,376391.0,519609.0
897000.0,376938.0,520062.0
898000.0,377485.0,520515.0
899000.0,378033.0,520967.0
